Report,Geography,Segment,Variety,Type,Data Year,Timeframe,PLU,Period,Prior Year Week Ending,Current Year Week Ending,Units Prior Year,Units Current Year,Unit Variance,Dollars Prior Year,Dollars Current Year,Dollar Variance,ASP Prior Year,ASP Current Year,ASP Variance,Dollar Sales Velocity Prior Year,Dollar Sales Velocity Current Year,Dollar Sales Velocity Variance
Category,Columbus,Avocados,Hass,Organic,2022,Quarterly,Total Organic Hass,1,2021-04-04,2022-04-03,182982.7175,179982.2424,-0.016397588,262716.0408,294498.5224,0.120976555,1.435742372,1.636264326,0.1396643,28.77991508,30.39046383,0.055960858
Category,Columbus,Total Produce,Total Produce,Total Produce,2022,Quarterly,Total Produce,1,2021-04-04,2022-04-03,170702077.1,164491206.8,-0.036384269,128766405.7,137774985.6,0.069960638,0.754334147,0.837582679,0.110360286,13508.52947,13912.31137,0.029890885
Category,Columbus,Avocados,Hass,Conventional,2022,Quarterly,4046,1,2021-04-04,2022-04-03,1636658.722,2778708.115,0.69779324,1259961.154,2780709.143,1.206980059,0.769837436,1.000720129,0.299910971,136.3700032,287.7778323,1.110272241
Category,Dallas/Ft. Worth,Avocados,Hass,Total Hass,2022,YTD-Q,Total Hass,1,2021-04-04,2022-04-03,21961954.61,20143802.91,-0.082786425,16779034.06,20533876.67,0.22378181,0.764004587,1.019364454,0.334238658,557.7647439,636.8030643,0.141705479
Category,Dallas/Ft. Worth,Avocados,Hass,Total Hass,2022,Quarterly,Total Hass,1,2021-04-04,2022-04-03,21961954.61,20143802.91,-0.082786425,16779034.06,20533876.67,0.22378181,0.764004587,1.019364454,0.334238658,557.7647439,636.8030643,0.141705479
Category,Dallas/Ft. Worth,Avocados,Hass,Conventional,2022,Quarterly,4225,1,2021-04-04,2022-04-03,5078857.221,3274313.099,-0.355305149,6065572.891,5952608.946,-0.018623788,1.194279072,1.817971821,0.522233675,233.927736,210.7884158,-0.098916531
Category,Dallas/Ft. Worth,Avocados,Hass,Conventional,2022,Quarterly,4770,1,2021-04-04,2022-04-03,258346.1217,179353.4938,-0.305762778,387403.6345,288332.7874,-0.255730298,1.499552739,1.60762292,0.072068276,14.93204773,9.074478739,-0.392281695
Category,Dallas/Ft. Worth,Avocados,Hass,Conventional,2022,Quarterly,Conventional Hass Bags,1,2021-04-04,2022-04-03,5959021.963,6300186.931,0.057251839,4143522.47,6201454.632,0.496662484,0.695335996,0.984328671,0.415615871,194.9729367,264.2940637,0.355542304
Category,Dallas/Ft. Worth,Avocados,Hass,Conventional,2022,Quarterly,Total Conventional Hass,1,2021-04-04,2022-04-03,21013996.7,19353711.5,-0.07900854,15613367.25,19406408.86,0.242935527,0.742998463,1.002722855,0.349562489,518.1614153,601.9079149,0.161622416
Category,Dallas/Ft. Worth,Avocados,Hass,Organic,2022,Quarterly,94046,1,2021-04-04,2022-04-03,132367.8851,162858.7631,0.230349515,227497.6423,331466.2736,0.457009708,1.718677021,2.035298974,0.184224231,9.150120656,12.22646054,0.336207576
Category,Dallas/Ft. Worth,Avocados,Hass,Organic,2022,Quarterly,94225,1,2021-04-04,2022-04-03,180277.2392,13708.94739,-0.923956305,298407.957,33822.38642,-0.886657223,1.655272503,2.467176031,0.490495387,36.58907342,2.200414691,-0.939861426
Category,Dallas/Ft. Worth,Avocados,Hass,Organic,2022,Quarterly,94770,1,2021-04-04,2022-04-03,24255.18758,0,-1,31331.98172,0,-1,1.291764148,,,13.73749242,0,-1
Category,Dallas/Ft. Worth,Avocados,Hass,Organic,2022,Quarterly,Organic Hass Bags,1,2021-04-04,2022-04-03,611057.5961,613523.6999,0.004035796,608429.2261,762179.1497,0.252699767,0.995698654,1.242297812,0.247664448,26.64349759,29.69612846,0.114573204
Category,Dallas/Ft. Worth,Avocados,Hass,Organic,2022,Quarterly,Total Organic Hass,1,2021-04-04,2022-04-03,947957.908,790091.4104,-0.166533236,1165666.807,1127467.81,-0.032770083,1.229660935,1.427009324,0.160490086,40.43663804,35.75559192,-0.115762495
Category,Dallas/Ft. Worth,Total Produce,Total Produce,Total Produce,2022,Quarterly,Total Produce,1,2021-04-04,2022-04-03,557961936.7,558885518.5,0.001655277,393157244.3,439379130,0.117565901,0.704630941,0.786170182,0.115719077,12900.51269,13463.88119,0.043670241
Category,Dallas/Ft. Worth,Avocados,Hass,Conventional,2022,Quarterly,4046,1,2021-04-04,2022-04-03,9717771.398,9599857.979,-0.012133792,5016868.257,6964012.492,0.388119467,0.516257077,0.7254287,0.405169502,168.1408229,222.8366994,0.325298019
Category,Denver,Avocados,Hass,Total Hass,2022,YTD-Q,Total Hass,1,2021-04-04,2022-04-03,14872971.72,12445130.82,-0.163238453,14711908.48,17260389.18,0.173225704,0.989170743,1.386919063,0.402102795,802.8581996,930.3245942,0.158765763
Category,Denver,Avocados,Hass,Total Hass,2022,Quarterly,Total Hass,1,2021-04-04,2022-04-03,14872971.72,12445130.82,-0.163238453,14711908.48,17260389.18,0.173225704,0.989170743,1.386919063,0.402102795,802.8581996,930.3245942,0.158765763
Category,Denver,Avocados,Hass,Conventional,2022,Quarterly,4225,1,2021-04-04,2022-04-03,6068022.594,3030962.787,-0.500502389,6726765.801,5434027.078,-0.192178346,1.108559781,1.7928386,0.617268306,366.3526382,291.8580881,-0.203341105
